id,umur_kendaraan,jarak_tempuh_tahun,frekuensi_servis_tahun,km_oli,km_rem,km_busi,km_ban,kelas,created_at,updated_at
806,2,8730,3,1137,6419,5367,10811,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
807,3,9460,4,1274,6838,5734,11622,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
808,4,10190,5,1411,7257,6101,12433,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
809,1,10920,6,1548,7676,6468,13244,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
810,2,11650,2,1685,8095,6835,14055,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
811,3,12380,3,1822,8514,7202,14866,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
812,4,13110,4,1959,8933,7569,15677,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
813,1,13840,5,2096,9352,7936,16488,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
814,2,14570,6,2233,9771,8303,17299,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
815,3,15300,2,2370,10190,8670,18110,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
816,4,16030,3,2507,10609,9037,18921,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
817,1,16760,4,2644,11028,9404,19732,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
818,2,17490,5,2781,11447,9771,20543,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
819,3,18220,6,2918,11866,10138,21354,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
820,4,18950,2,3055,12285,10505,22165,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
821,1,19680,3,3192,12704,10872,22976,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
822,2,20410,4,3329,13123,11239,23787,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
823,3,21140,5,3466,13542,11606,24598,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
824,4,21870,6,3603,13961,11973,25409,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
825,1,22600,2,3740,14380,12340,26220,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
826,2,23330,3,3877,14799,12707,27031,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
827,3,24060,4,4014,15218,13074,27842,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
828,4,24790,5,4151,15637,13441,28653,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
829,1,25520,6,4288,16056,13808,29464,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
830,2,8250,2,4425,16475,14175,30275,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
831,3,8980,3,4562,16894,14542,31086,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
832,4,9710,4,1099,17313,14909,31897,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
833,1,10440,5,1236,17732,15276,32708,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
834,2,11170,6,1373,6151,15643,33519,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
835,3,11900,2,1510,6570,16010,34330,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
836,4,12630,3,1647,6989,16377,10141,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
837,1,13360,4,1784,7408,16744,10952,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
838,2,14090,5,1921,7827,17111,11763,Layak,2026-07-02 02:26:05,2026-07-02 02:26:05
839,3,14820,6,2058,8246,17478,12574,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
840,4,15550,2,2195,8665,17845,13385,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
841,1,16280,3,2332,9084,5212,14196,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
842,2,17010,4,2469,9503,5579,15007,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
843,3,17740,5,2606,9922,5946,15818,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
844,4,18470,6,2743,10341,6313,16629,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
845,1,19200,2,2880,10760,6680,17440,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
846,2,19930,3,3017,11179,7047,18251,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
847,3,20660,4,3154,11598,7414,19062,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
848,4,21390,5,3291,12017,7781,19873,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
849,1,22120,6,3428,12436,8148,20684,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
850,2,22850,2,3565,12855,8515,21495,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
851,3,23580,3,3702,13274,8882,22306,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
852,4,24310,4,3839,13693,9249,23117,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
853,1,25040,5,3976,14112,9616,23928,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
854,2,25770,6,4113,14531,9983,24739,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
855,3,8500,2,4250,14950,10350,25550,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
856,4,9230,3,4387,15369,10717,26361,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
857,1,9960,4,4524,15788,11084,27172,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
858,2,10690,5,1061,16207,11451,27983,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
859,3,11420,6,1198,16626,11818,28794,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
860,4,12150,2,1335,17045,12185,29605,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
861,1,12880,3,1472,17464,12552,30416,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
862,2,13610,4,1609,17883,12919,31227,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
863,3,14340,5,1746,6302,13286,32038,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
864,4,15070,6,1883,6721,13653,32849,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
865,1,15800,2,2020,7140,14020,33660,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
866,2,16530,3,2157,7559,14387,34471,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
867,3,17260,4,2294,7978,14754,10282,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
868,4,17990,5,2431,8397,15121,11093,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
869,1,18720,6,2568,8816,15488,11904,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
870,2,19450,2,2705,9235,15855,12715,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
871,3,20180,3,2842,9654,16222,13526,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
872,4,20910,4,2979,10073,16589,14337,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
873,1,21640,5,3116,10492,16956,15148,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
874,2,22370,6,3253,10911,17323,15959,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
875,3,23100,2,3390,11330,17690,16770,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
876,4,23830,3,3527,11749,5057,17581,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
877,1,24560,4,3664,12168,5424,18392,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
878,2,25290,5,3801,12587,5791,19203,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
879,3,8020,6,3938,13006,6158,20014,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
880,4,8750,2,4075,13425,6525,20825,Layak,2026-07-02 02:26:06,2026-07-02 02:26:06
906,2,12887,3,1651,21153,6367,11811,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
907,3,13774,4,1802,7842,21674,12622,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
908,4,14661,5,1953,8263,7101,43431,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
909,5,34412,2,2104,8684,7468,14244,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
910,6,16435,1,2255,9105,7835,15055,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
911,11,17322,4,2406,9526,8202,15866,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
912,8,18209,5,6579,9947,8569,16677,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
913,9,19096,2,2708,25724,8936,17488,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
914,10,19983,3,2859,10789,25783,18299,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
915,11,20870,4,3010,11210,9670,50270,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
916,1,42133,5,3161,11631,10037,19921,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
917,2,22644,0,3312,12052,10404,20732,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
918,11,23531,3,3463,12473,10771,21543,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
919,4,24418,4,7958,12894,11138,22354,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
920,5,25305,5,3765,30295,11505,23165,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
921,6,26192,2,3916,13736,29892,23976,Perlu Servis,2026-07-02 02:26:06,2026-07-02 02:26:06
